ticker,company_name,sector,industry,current_price,market_cap,forward_pe,trailing_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,total_revenue,net_income,profit_margin,operating_margin,gross_margin,revenue_growth,dividend_yield,beta,eps
ALLE,Allegion,Industrials,Building Products,160.91,13843401728,18.094475,21.77402,,3.478504,7.1114154,3.97,16.431,3979699968.0,640400000.0,0.16092,0.21856001,0.45116,0.107,1.27,1.043,7.39
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,315.15,3817135144960,28.149628,31.141304,,9.902393,9.838291,9.725,25.822,385476001792.0,124250996736.0,0.32233003,0.30512,0.59172,0.159,0.27,1.07,10.12
ALL,Allstate,Financials,Property & Casualty Insurance,203.82,53707657216,8.450824,6.6089497,,0.80345356,2.0938118,0.804,5.339,66845999104.0,8261000192.0,0.12533,0.24439,0.28204,0.038,1.96,0.249,30.84
LNT,Alliant Energy,Utilities,Electric Utilities,65.59,16860150784,19.119995,20.625784,,3.9448178,2.3073945,6.558,15.028,4273999872.0,818000000.0,0.19139,0.28843,0.46888,0.119,3.09,0.654,3.18
MO,Altria,Consumer Staples,Tobacco,57.31,96274554880,10.253557,10.937024,,4.7741027,-36.364216,5.875,9.397,20166000640.0,8844000256.0,0.4398,0.62826,0.72186,-0.017,7.4,0.5,5.24
AMZN,Amazon,Consumer Discretionary,Broadline Retail,226.5,2421333950464,28.871672,31.946404,,3.5024285,6.5487027,3.598,17.807,691330023424.0,76482002944.0,0.11063,0.11057,0.50046,0.134,,1.372,7.09
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,315.32,3806490787840,28.164812,31.158104,,9.874781,9.843598,9.73,25.836,385476001792.0,124250996736.0,0.32233003,0.30512,0.59172,0.159,0.27,1.07,10.12
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,8.41,19413307392,9.423814,28.03333,,1.1156433,1.6542093,1.975,13.775,17400999936.0,582000000.0,0.03345,0.09713,0.18958999,0.713,6.18,0.681,0.3
AEE,Ameren,Utilities,Multi-Utilities,100.86,27282116608,18.855543,19.396154,,3.1594808,2.134784,5.502,13.401,8634999808.0,1411000064.0,0.1634,0.34,0.47099,0.248,2.82,0.581,5.2
AEP,American Electric Power,Utilities,Electric Utilities,115.81,61989109760,18.331995,16.956076,,2.916174,2.0393033,5.16,12.524,21257000960.0,3662099968.0,0.17228001,0.25885,0.48422,0.109,3.28,0.598,6.83
AXP,American Express,Financials,Consumer Finance,372.73,259376201728,21.341469,25.065905,,3.9724355,7.9221663,4.032,,65294000128.0,10410999808.0,0.16143999,0.22052999,0.64135003,0.122,0.88,1.147,14.87
AIG,American International Group,Financials,Multi-line Insurance,84.27,46685900800,10.701156,15.156474,,1.7214564,1.1168097,1.613,5.261,27120001024.0,3304999936.0,0.120170005,0.15235,0.34012002,-0.041,2.14,0.626,5.56
AMT,American Tower,Real Estate,Telecom Tower REITs,174.8,81850318848,25.174915,27.834394,,7.8290453,20.708447,12.598,19.575,10454700032.0,2938400000.0,0.28106,0.45477,0.74285007,0.077,3.89,0.915,6.28
AWK,American Water Works,Utilities,Water Utilities,130.32,25435490304,21.396172,22.90334,,5.016862,2.3313894,8.0,14.691,5070000128.0,1112000000.0,0.21933001,0.42591,0.6075,0.097,2.54,0.751,5.69
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,493.77,46548471808,11.881335,13.587506,,2.5143666,7.123771,2.141,,18513000448.0,3625999872.0,0.19586,0.37298,0.56766,0.073,1.3,1.263,36.34
APH,Amphenol,Information Technology,Electronic Components,139.71,171012816896,34.82772,46.570004,,8.153756,13.6542225,8.357,28.911,20973500416.0,3820999936.0,0.18218,0.27481002,0.36308,0.534,0.72,1.194,3.0
AME,Ametek,Industrials,Electrical Components & Equipment,209.14,48301711360,26.20362,32.98738,,6.742028,4.5735655,7.042,22.254,7164270080.0,1468797952.0,0.20502001,0.25787002,0.35878,0.108,0.59,1.047,6.34
AMGN,Amgen,Health Care,Biotechnology,327.64,176427810816,14.925278,25.31994,,4.9047236,18.341824,6.16,13.444,35970998272.0,7005000192.0,0.19474001,0.34153,0.70051,0.124,2.95,0.447,12.94
ADI,Analog Devices,Information Technology,Semiconductors,273.74,134037913600,24.356714,59.899338,,12.163473,3.9637995,12.645,27.901,11019707392.0,2267342080.0,0.20575,0.30501,0.61467,0.259,1.45,1.039,4.57
AON,Aon plc,Financials,Insurance Brokers,344.27,74233765888,18.07533,27.5416,,4.359512,9.332087,5.327,16.699,17027999744.0,2718000128.0,0.15962,0.20365,0.46758,0.074,0.87,0.833,12.5
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",271.01,4021894250496,29.602146,36.377182,,9.664274,54.29974,9.761,28.064,416161005568.0,112010002432.0,0.26915002,0.31647,0.46905,0.079,0.38,1.107,7.45
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,146.61,85095759872,15.837915,21.37172,,3.1265664,3.9141924,3.852,,27217000448.0,4064000000.0,0.15777001,0.29920998,0.39975,0.264,1.39,1.605,6.86
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,25.36,9073465344,9.42313,6.066986,,0.9677331,1.512044,1.494,2.402,9376000000.0,1508999936.0,0.16093999,0.27281,0.66542,-0.164,3.94,0.755,4.18
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,268.87,214193242112,23.219402,31.047344,,7.5505233,10.443987,7.462,23.661,28367998976.0,6998000128.0,0.24669,0.28441,0.48675,-0.035,0.68,1.666,8.66
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,78.44,17081079808,9.340519,59.42424,,0.84761214,1.8300166,1.179,7.409,20152000512.0,295000000.0,0.01464,0.114350006,0.19408001,0.074,,1.516,1.32
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,59.05,28377643008,13.812446,24.004065,,0.34103236,1.2600559,0.44,14.533,83211001856.0,1188999936.0,0.01429,0.01949,0.062230002,0.022,3.45,0.686,2.46
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,93.86,35030458368,10.111762,8.796626,,1.7924812,1.4999121,1.739,6.779,19542999040.0,4056000000.0,0.20959,0.30691,0.35639,0.082,,0.447,10.67
APP,AppLovin,Information Technology,Application Software,618.32,209146691584,44.346333,73.00118,,33.158676,142.01195,33.422,53.862,6307449856.0,2916342016.0,0.44879,0.76795,0.79688,0.682,,2.509,8.47
ARES,Ares Management,Financials,Asset Management & Custody Banks,166.33,54493802496,25.51872,70.47882,,10.175187,12.162183,9.989,40.451,5355557888.0,511825984.0,0.12145001,0.24098,0.37186,0.467,2.69,1.545,2.36
ANET,Arista Networks,Information Technology,Communications Equipment,133.6,168240496640,39.76321,50.79848,,19.914015,14.128595,18.718,43.075,8448346112.0,3356553984.0,0.3973,0.42378,0.64343,0.275,,1.411,2.63
ATO,Atmos Energy,Utilities,Gas Utilities,169.36,27393640448,19.521597,22.732887,,5.82502,2.0181124,7.758,15.711,4702754816.0,1198267008.0,0.2549,0.30696,0.58131003,0.121,2.36,0.747,7.45
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,256.0,65742077952,19.121773,40.829346,,5.442856,2.8329554,6.464,22.69,12078600192.0,1601200000.0,0.13257,0.17212,0.43601,0.2,1.02,0.688,6.27
T,AT&T,Communication Services,Integrated Telecommunication Services,24.56,175613460480,11.004718,8.0,,1.4107766,1.5770885,2.667,7.488,124479995904.0,22168000512.0,0.17870001,0.2158,0.59675,0.016,4.52,0.593,3.07
AIZ,Assurant,Financials,Multi-line Insurance,237.72,11995163648,11.401909,14.495122,,0.9543679,2.0722299,0.959,8.544,12568699904.0,848800000.0,0.06753,0.11153,0.11491,0.089,1.48,0.573,16.4
ADSK,Autodesk,Information Technology,Application Software,286.73,61073494016,24.732475,55.567833,,8.866652,21.012018,8.89,34.555,6888000000.0,1111000064.0,0.16129999,0.25688,0.92130995,0.18,,1.475,5.16
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,182.44,14101771264,17.340063,20.708284,,1.6079557,6.39871,1.973,12.047,8769999872.0,695600000.0,0.07932,0.12687999,0.28561002,0.015,2.06,1.015,8.81
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,180.48,25697288192,34.793808,22.03663,,8.382444,2.1380591,11.261,18.472,3065607936.0,1166467968.0,0.38122,0.2928,0.63443,0.044,3.88,0.743,8.19
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3303.82,54951329792,18.73928,23.040798,,2.849034,-16.971388,3.466,15.988,19287705600.0,2464136960.0,0.12776,0.16941999,0.52146,0.082,,0.405,143.39
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,252.88,102439034880,21.169832,24.938856,,4.9005923,16.064034,4.997,17.143,20903399424.0,4136399872.0,0.19788,0.25891,0.48306,0.071,2.69,0.86,10.14
AXON,Axon Enterprise,Industrials,Aerospace & Defense,563.45,44758929408,74.713455,178.30696,,17.497921,14.681206,17.247,619.621,2557957120.0,257095008.0,0.100509994,-0.00229,0.60357,0.306,,1.395,3.16
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",53.35,14519143424,13.361149,20.758755,,1.14378,2.6418736,1.676,10.769,12693999616.0,712000000.0,0.05357,0.11542,0.19860001,0.096,1.5,1.135,2.57
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,47.14,46516518912,17.608212,16.25517,,1.6786301,2.5609822,1.806,10.654,27711000576.0,2891000064.0,0.104329996,0.13524,0.21353,0.015,1.95,0.892,2.9
BAX,Baxter International,Health Care,Health Care Equipment,19.5,10024088576,8.463469,,,0.90937936,1.3840585,1.631,8.671,11022999552.0,-344000000.0,-0.030940002,0.10123,0.3793,0.05,2.67,0.607,-0.7
BAC,Bank of America,Financials,Diversified Banks,55.95,414418698240,12.8412285,15.286885,,4.0851564,1.4742695,4.174,,101445001216.0,28253999104.0,0.29224002,0.35292998,0.0,0.126,2.0,1.304,3.66
BDX,Becton Dickinson,Health Care,Health Care Equipment,194.94,55639494656,12.276948,33.437393,,2.547596,2.1912727,3.435,12.056,21839998976.0,1678000000.0,0.07683,0.17858,0.47431,0.083,2.15,0.277,5.83
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,496.85,1071871819776,20.538792,15.8992,,2.880385,0.0010238539,-0.676,-2.421,372127989760.0,67463000064.0,0.18129,0.41103,0.24361,0.021,,0.703,31.25
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,59.65,9294228480,27.457605,121.734695,,7.6386814,4.725876,7.844,29.34,1216732032.0,77948000.0,0.06409,0.16882999,0.66835,-0.01,0.54,1.463,0.49
BIIB,Biogen,Health Care,Biotechnology,177.82,26086598656,11.685208,16.209663,,2.5915816,1.4327152,2.853,8.423,10065899520.0,1608499968.0,0.1598,0.30718002,0.76563,0.028,,0.128,10.97
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,69.18,14534805504,10.2498455,22.831684,,0.34751478,5.476134,0.419,6.717,41825001472.0,645000000.0,0.015420001,0.039809998,0.22496,0.024,5.49,1.391,3.03
BK,BNY Mellon,Financials,Asset Management & Custody Banks,117.04,82541387776,14.309241,16.88889,,4.182699,2.090448,-0.666,,19733999616.0,5008999936.0,0.26568002,0.37402,0.0,0.1,1.81,1.12,6.93
BA,Boeing,Industrials,Aerospace & Defense,227.77,178360139776,97.39338,,,2.208603,-20.957859,2.558,-33.565,80756998144.0,-10167000064.0,-0.12197,-0.204,0.01195,0.304,,1.175,-13.69
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,65.15,39714398208,19.93324,13.108653,,1.6565775,1.7635276,1.621,23.282,23973765120.0,3135894016.0,0.13081001,0.06871,0.41118,0.023,,2.658,4.97
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,158.8,194856943616,24.683681,45.632183,,15.23365,14.81067,11.633,,12791218176.0,2707886080.0,0.2117,0.44629002,1.0,-0.196,2.95,1.762,3.48
BLK,BlackRock,Financials,Asset Management & Custody Banks,1085.06,168348057600,20.194227,27.929476,,7.356262,3.031741,7.74,19.622,22884999168.0,6096000000.0,0.26638,0.3214,0.47664002,0.252,1.92,1.484,38.85
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",5323.2,172524306432,20.057842,34.602184,,6.6256123,-36.312046,6.638,17.602,26038999040.0,5043999744.0,0.19371,0.44904998,0.86992997,0.127,0.72,1.254,153.84
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,53.46,108831358976,8.916673,18.0,,2.2657151,5.866988,2.986,7.463,48034000896.0,6039000064.0,0.12572,0.31566,0.73146003,0.028,4.71,0.302,2.97
AVGO,Broadcom,Information Technology,Semiconductors,347.62,1648161456128,24.828209,73.0294,,25.798073,5.869877,2.696,4.921,63886999552.0,23125999616.0,0.36198002,0.31765,0.77325994,0.164,0.75,1.204,4.76
BSX,Boston Scientific,Health Care,Health Care Equipment,94.71,140402081792,27.297724,50.647057,,7.2562966,6.0011406,7.825,29.858,19349000192.0,2791000064.0,0.1443,0.20731,0.68329,0.203,,0.674,1.87
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,220.47,25734924288,21.469994,28.15709,,3.6474466,9.76395,4.099,16.587,7055600128.0,925100032.0,0.13112001,0.118719995,0.31344,0.117,1.77,0.994,7.83
BRO,Brown & Brown,Financials,Insurance Brokers,77.62,26501083136,16.648685,23.521214,,4.9534736,2.1118789,6.236,17.987,5350000128.0,989000000.0,0.18691999,0.27355,0.49550998,0.342,0.85,0.815,3.3
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,26.14,12108294144,15.076362,15.286549,,3.1134725,2.9670827,3.712,12.297,3888999936.0,810000000.0,0.20828,0.2944,0.59115005,-0.054,3.48,0.403,1.71
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,92.64,17912967168,10.374473,10.432432,,0.29800805,1.1363385,0.566,16.339,60109000704.0,1326000000.0,0.02201,0.02194,0.05691,0.716,3.02,0.778,8.88
BLDR,Builders FirstSource,Industrials,Building Products,104.63,11570045952,16.201008,19.85389,,0.7391557,2.6799343,1.045,10.213,15653056512.0,593963008.0,0.03795,0.05805,0.30971,-0.069,,1.565,5.27
BXP,"BXP, Inc.",Real Estate,Office REITs,67.82,11997123584,33.136753,,,3.5027843,2.1487184,8.687,15.631,3425025024.0,-200404000.0,-0.058509998,0.28563,0.60346,0.018,4.13,1.008,-1.28
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,27.71,8261299712,10.550684,14.2835045,,0.8132801,2.0867534,1.516,8.398,10158000128.0,578000000.0,0.056900002,0.14232,0.30271998,-0.034,5.63,-0.057,1.94
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,110.17,11771964416,82.39104,44.603237,,7.4580307,2.633189,9.828,17.376,1578428032.0,268553984.0,0.1705,0.15994,0.61514,0.021,3.81,0.825,2.47
CDNS,Cadence Design Systems,Information Technology,Application Software,310.4,84580892672,38.546696,79.99999,,16.226158,16.251308,16.122,44.638,5212625920.0,1060961984.0,0.20354,0.35089,0.85545,0.101,,1.051,3.88
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,163.72,19341418496,27.313251,33.1417,,1.1718674,10.439995,1.255,23.769,16504784896.0,600065984.0,0.03636,0.05578,0.08402,-0.109,1.54,0.906,4.94
COF,Capital One,Financials,Consumer Finance,247.93,158555521024,11.896291,84.617744,,5.4890094,1.4539558,5.56,,28885999616.0,1151000064.0,0.04899,0.38719,0.0,0.679,1.29,1.166,2.93
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",30.92,40567042048,10.962401,15.306931,,1.5238165,3.3023603,2.503,9.21,26621999104.0,2760000000.0,0.10366999,0.115959994,0.54763,0.066,0.49,2.536,2.02
CVNA,Carvana,Consumer Discretionary,Automotive Retail,400.25,86775578624,53.915455,90.965904,,4.7506614,24.79403,3.303,30.209,18265999360.0,629000000.0,0.03444,0.09793,0.21372999,0.545,,3.52,4.4
CAH,Cardinal Health,Health Care,Health Care Distributors,205.72,48878051328,18.558815,31.07553,,0.20860422,-17.005869,0.228,15.086,234309992448.0,1595000064.0,0.00681,0.01205,0.03664,0.224,0.99,0.635,6.62
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,598.41,280342462464,26.730577,30.766579,,4.3349023,13.556169,4.87,22.564,64670998528.0,9272999936.0,0.14339,0.17746,0.3012,0.095,1.01,1.563,19.45
CARR,Carrier Global,Industrials,Building Products,53.52,45546741760,18.170153,33.45,,2.0648627,3.113076,2.553,15.431,22058000384.0,1379000064.0,0.18052,0.09554,0.2736,-0.068,1.79,1.298,1.6
CNC,Centene Corporation,Health Care,Managed Health Care,41.78,20535621632,14.4464,,,0.12246912,0.980107,0.113,4.866,167680000000.0,-5289999872.0,-0.03155,0.0054699997,0.11724,0.215,,0.476,-10.67
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,248.11,25963350016,22.720009,26.678493,,5.62245,5.3145547,5.644,17.409,4617800192.0,978200000.0,0.21287,0.32846,0.49428,0.081,1.16,0.353,9.3
CBRE,CBRE Group,Real Estate,Real Estate Services,160.19,47671422976,21.751144,39.65099,,1.2122421,5.5012193,1.417,21.035,39324999680.0,1228000000.0,0.031229999,0.04923,0.19296,0.135,,1.337,4.04
COR,Cencora,Health Care,Health Care Distributors,338.87,65738555392,17.385517,42.571606,,0.2045809,43.57896,0.221,14.766,321332805632.0,1554168960.0,0.00484,0.0114400005,0.03514,0.059,0.71,0.633,7.96
CDW,CDW Corporation,Information Technology,Technology Distributors,133.16,17452048384,12.599349,16.834387,,0.7897176,6.8318715,1.04,11.656,22099099648.0,1051299968.0,0.04757,0.07953,0.21604,0.04,1.89,1.063,7.91
CNP,CenterPoint Energy,Utilities,Multi-Utilities,38.73,25285588992,20.297571,24.512657,,2.7743678,2.2914448,5.151,13.68,9114000384.0,1036000000.0,0.11367,0.2495,0.45139,0.071,2.38,0.558,1.58
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,101.57,184371822592,18.049604,23.786886,,8.046252,4.2578077,6.67,,22914000896.0,7767000064.0,0.35930002,0.49242002,0.97342,0.266,1.06,0.956,4.27
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,80.13,12978892800,10.83737,9.689238,,1.9267952,2.605769,2.509,5.571,6736000000.0,1379000064.0,0.20472,0.33936,0.36862,0.211,2.5,0.679,8.27
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,202.42,9962195968,18.506447,,,2.4758768,2.925356,3.09,14.049,4023704064.0,-83482000.0,-0.020450002,0.15035,0.34680998,-0.005,,1.635,-1.54
CHTR,Charter Communications,Communication Services,Cable & Satellite,209.28,28585762816,4.874446,5.8036604,,0.5188073,1.7654948,2.33,5.811,55098998784.0,5120999936.0,0.092939995,0.23858999,0.55237,-0.009,,1.065,36.06
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,155.9,314110803968,20.695358,21.926863,,1.6647187,1.6535149,1.873,9.38,188687007744.0,12768000000.0,0.06767,0.098529994,0.40602002,-0.014,4.39,0.673,7.11
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,37.49,50269782016,30.882402,33.176994,,4.2647047,15.427984,4.507,22.701,11787400192.0,1536593024.0,0.13036,0.16134001,0.40191,0.075,,0.991,1.13
CI,Cigna,Health Care,Health Care Services,279.12,74560159744,9.161385,12.361382,,0.27812964,1.7800112,0.38,8.747,268077006848.0,6146999808.0,0.02293,0.04,0.09551,0.095,2.16,0.263,22.58
CB,Chubb Limited,Financials,Property & Casualty Insurance,310.06,123617910784,11.812548,12.951545,,2.1008449,1.7015414,2.472,11.477,58842001408.0,9674999808.0,0.16442,0.25623,0.29035,0.091,1.25,0.522,23.94
CHD,Church & Dwight,Consumer Staples,Household Products,82.64,20131823616,22.090763,26.069399,,3.2782645,4.698391,3.573,16.494,6141000192.0,782499968.0,0.12742,0.16057,0.44932,0.05,1.43,0.454,3.17
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,161.49,25253228544,18.847776,12.015626,,2.090845,1.6352426,2.026,8.699,12078000128.0,2122000000.0,0.17569,0.38272,0.23224,0.122,2.15,0.695,13.44
CSCO,Cisco,Information Technology,Communications Equipment,76.04,300441239552,17.001106,29.359076,,5.2073145,6.3883057,5.448,20.052,57696002048.0,10328999936.0,0.17902,0.23604,0.64847,0.075,2.16,0.864,2.59
CFG,Citizens Financial Group,Financials,Regional Banks,59.39,25617815552,11.811383,16.635855,,3.441867,1.0803682,3.486,,7442999808.0,1566000000.0,0.22894,0.32026002,0.0,0.136,3.1,1.106,3.57
CTAS,Cintas,Industrials,Diversified Support Services,184.88,74497032192,34.255436,40.01732,,6.9011164,16.593071,7.129,27.012,10794925056.0,1891885056.0,0.17584999,0.23417999,0.50249,0.093,0.97,0.963,4.62
C,Citigroup,Financials,Diversified Banks,118.7,218514571264,12.061783,16.671349,,2.8986864,1.0949275,0.643,,75383996416.0,13436999680.0,0.19488001,0.30606002,0.0,0.116,2.02,1.196,7.12
CLX,Clorox,Consumer Staples,Household Products,100.85,12301720576,14.925903,15.832026,,1.8168248,-557.1823,2.271,12.55,6770999808.0,791000000.0,0.11682,0.08328,0.44277,-0.189,4.92,0.568,6.37
CME,CME Group,Financials,Financial Exchanges & Data,269.68,97246543872,23.148973,26.106485,,15.229992,3.4424744,15.418,21.906,6385200128.0,3716699904.0,0.58946997,0.63386,1.0,-0.03,1.85,0.293,10.33
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,69.12,297469476864,21.459574,22.887419,,6.2410984,9.516729,6.96,20.343,47663001600.0,13031000064.0,0.2734,0.32373002,0.61632997,0.051,2.95,0.393,3.02
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,81.28,39696822272,14.465799,18.814814,,1.9032854,2.6352818,1.824,10.07,20856999936.0,2128000000.0,0.10203,0.15993,0.34056,0.074,1.53,0.967,4.32
CMS,CMS Energy,Utilities,Multi-Utilities,70.42,21430198272,18.273632,20.293947,,2.583508,2.4801888,4.814,13.348,8295000064.0,1037000000.0,0.12622,0.26174998,0.42327,0.16,3.08,0.471,3.47
COIN,Coinbase,Financials,Financial Exchanges & Data,236.53,63782113280,34.77186,20.443388,,8.653786,3.9670267,8.383,25.753,7370428928.0,3217709056.0,0.43664002,0.25254,0.84822,0.589,,3.691,11.57
CMCSA,Comcast,Communication Services,Cable & Satellite,29.54,109067788288,7.120904,4.9069767,,0.8844936,1.1119895,1.605,5.204,123310997504.0,22606999552.0,0.18333,0.17735,0.71882004,-0.027,4.47,0.829,6.02
CL,Colgate-Palmolive,Consumer Staples,Household Products,77.69,62790676480,20.23973,21.761906,,3.1243806,73.15443,3.481,14.537,20096999424.0,2908000000.0,0.1447,0.2023,0.60148,0.019,2.68,0.295,3.57
FIX,Comfort Systems USA,Industrials,Construction & Engineering,1003.64,35409879040,32.598213,42.545147,,4.2542677,15.815068,4.189,27.855,8323378176.0,837622016.0,0.10063,0.15434,0.23487,0.352,0.19,1.642,23.59
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,17.3,8275791360,9.530157,,,0.7366409,1.0228817,1.411,8.749,11234499584.0,-98000000.0,-0.008719999,0.11413,0.24620001,-0.068,8.09,-0.016,-0.21
ED,Consolidated Edison,Utilities,Multi-Utilities,99.99,36089950208,16.604725,17.48077,,2.1750104,1.4935695,3.772,10.522,16593000448.0,2036000000.0,0.122700006,0.25342,0.53414,0.107,3.4,0.362,5.72
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,141.17,24572995584,11.4020195,20.548763,,2.5533037,3.2940545,3.685,9.79,9624000512.0,1222700032.0,0.12705,0.36413,0.51926,-0.15,2.89,0.459,6.87
